"","x"
"MUC1",2.98919251841469
"CEBPD",2.89023786308171
"IL17A",2.87919883914854
"CIR1",2.87109906328482
"BCL3",2.80962714670997
"ZFAND6",2.76876446574264
"FOXR1",2.66292172581974
"FOXD2",2.66069840942461
"CEBPB",2.6127263924187
"ZNF683",2.59423190472107
"IRF1",2.57814567438443
"HTATIP2",2.56208305037278
"PAX9",2.54428391444999
"SBNO2",2.54367896554283
"SPDEF",2.5399464098529
"HNF4G",2.53212981219354
"JUN",2.48064714342117
"NR1D1",2.45265431994988
"PARP14",2.43829912997369
"RNF10",2.43360311677639
"ZSCAN31",2.39951204162378
"TDRD3",2.32121933210485
"BATF2",2.31906068409804
"SREBF1",2.31204418034303
"STAT1",2.31101038573009
"HOXB2",2.30999959136961
"FEZF1",2.28030629043254
"IRX3",2.24970642161177
"NOTCH2NLA",2.24044808677661
"HOXB1",2.22872793828693
"HOXB6",2.22124603756829
"SAP18",2.21095268788033
"IFNG",2.1989977654266
"ETV7",2.17846499007724
"ZFP36",2.16208360600414
"RORC",2.1447155533076
"SERTAD3",2.14123613244041
"TRAFD1",2.13900482943774
"STAT4",2.13565336836782
"HOXB7",2.13440757446344
"ZNF117",2.12835251202865
"TBX21",2.12709556335826
"IRX5",2.1152800258177
"ST18",2.0925219705873
"STAT3",2.08920563587308
"ZMYND15",2.08369494359994
"ZNF322P1",2.06352870051177
"SP140",2.04500081405962
"HOXB5",2.04242441111159
"NCOA7",2.04018715892273
"ZSCAN20",-2.38853614714046
"ZBTB5",-2.39841783613074
"ZNF22",-2.40017444090276
"GZF1",-2.41772449895407
"RAD54L2",-2.42197420153135
"NCOA5",-2.4451999179408
"ARHGAP35",-2.45212718081504
"MYBBP1A",-2.45529597239149
"BCL7A",-2.46458093418145
"ZBTB39",-2.47447485325201
"ZNF709",-2.47455553766662
"ZNF696",-2.47675653795441
"ZNF584",-2.48039284347829
"ZNF473",-2.4811698109722
"MED22",-2.49241573742338
"ZNF555",-2.50272863721215
"POLR3F",-2.51644277679175
"ZBTB8A",-2.52197779320824
"HIC2",-2.52857275199606
"ZNF557",-2.53725963674773
"ZBTB9",-2.54367345850185
"ZNF445",-2.54460970132224
"ZNF551",-2.54826829160963
"ESX1",-2.55881067204473
"ZNF625",-2.56763064734883
"ZNF250",-2.56975600873143
"ZNF324",-2.5702337858321
"SMARCC1",-2.59005703435322
"ZNF286A",-2.6149175631773
"ZNF79",-2.61714939752094
"ZFAT",-2.63718700032833
"ZFP41",-2.63983831056992
"SCRT1",-2.64290229950791
"NFATC3",-2.66849388621953
"ZNF317",-2.72067818089172
"HCFC1",-2.76754943286063
"ZNF646",-2.77892309282036
"CIZ1",-2.79396732104645
"ZNF740",-2.80214166743245
"FOXK1",-2.80556804717991
"ZCCHC3",-2.92217002751911
"USP22",-3.03461651676902
"SF1",-3.0346639442973
"ZNF526",-3.05897157060553
"HIRA",-3.19029735748673
"ZNF496",-3.27164273422555
"TRIM32",-3.33478177917701
"ASXL1",-3.41133482108211
"PKNOX1",-3.66930482034739
"ZSCAN22",-3.84863290756923
